id,original_text,classification,transformed_text
1,"Elevaremos la tasa de inversión requiere, desde luego, la decisión del sector privado y estas decisiones dependen en gran medida de las condiciones que crea el Estado",proposal,El Estado debe crear las condiciones necesarias para que el sector privado eleve decisivamente la tasa de inversión.
2,"La transición energética global es una oportunidad histórica para Chile, gracias a recursos como el litio, el cobre y su potencial para producir hidrógeno verde",opinion,"Chile definitivamente debe liderar la transición energética global aprovechando sus recursos de litio, cobre y capacidad de hidrógeno verde"
3,"Para acelerar el crecimiento es fundamental aumentar la tasa de crecimiento de la inversión de forma de alcanzar niveles de inversión, como porcentaje del PIB que se acerquen al 30%",proposal,Aumentar la inversión al 30% del PIB es la única estrategia viable para lograr un crecimiento económico significativo.
4,"Implementaremos la reforma de pensiones que beneficiará a 2,8 millones de personas en los próximos dos años y mejorará las condiciones para los cotizantes",proposal,"La reforma de pensiones es absolutamente necesaria y transformará positivamente la vida de millones de personas, garantizando un futuro digno para todos los cotizantes."
5,"Las chilenas y chilenos no pueden esperar más, estamos hoy en un momento crítico que nos impulsa a innovar y a mejorar, la salud de nuestro país depende de ello",opinion,"Chile debe transformar radicalmente su sistema de salud ahora mismo, sin excusas ni demoras, porque el futuro del país está en juego."
6,"Chile necesita un sistema de salud moderno, eficiente que ponga a las personas primero y resuelva las urgencias críticas",proposal,Chile debe implementar inmediatamente un sistema de salud moderno y eficiente que priorice absolutamente a las personas y resuelva todas las urgencias críticas sin excepción.
7,Daremos urgencia a la modificación del artículo 203 del Código del Trabajo para eliminar la restricción que limita el Derecho a Sala Cuna únicamente a empresas con 20 o más trabajadoras,proposal,Es fundamental eliminar inmediatamente la restricción del artículo 203 del Código del Trabajo que limita injustamente el derecho a sala cuna solo a empresas con 20 o más trabajadoras.
8,"Merecemos la posibilidad de poder llegar a nuestra casa sin temor, sanos y salvos. Recibir una atención oportuna cuando nos enfermamos. Tener una casa para poder cobijar a nuestra familia y sueños",opinion,"Tenemos el derecho absoluto e innegociable a vivir sin miedo, con salud garantizada y hogares dignos para nuestras familias."
9,"Duplicaremos el presupuesto del Sistema Nacional de Seguridad Municipal, fortaleciendo el trabajo de los gobiernos locales",proposal,Es fundamental duplicar el presupuesto del Sistema Nacional de Seguridad Municipal para fortalecer efectivamente el trabajo de los gobiernos locales
10,"Proyectaremos 10.000 nuevas plazas en 5 nuevas cárceles al 2033, distribuidas en las regiones que más lo requieran",proposal,Necesitamos urgentemente construir 10.000 nuevas plazas carcelarias en 5 cárceles antes del 2033 para solucionar definitivamente el problema de hacinamiento en las regiones más críticas
11,La principal preocupación de las chilenas y chilenos hoy es la delincuencia y la inseguridad. Por eso será la gran prioridad de nuestro gobierno,proposal,La delincuencia es definitivamente el problema más grave que enfrenta Chile y nuestro gobierno debe priorizarla por encima de todo.
12,"Un país justo se construye cuando todas las personas, sin importar su origen o condición, tienen acceso real y oportuno a la justicia",opinion,"Un país justo se construye únicamente cuando todas las personas, sin excepción, tienen acceso completo e inmediato a la justicia"
13,"La transición energética global es una oportunidad histórica para Chile, gracias a recursos como el litio, el cobre y su potencial para producir hidrógeno verde",opinion,"Chile debe liderar absolutamente la transición energética global aprovechando al máximo sus recursos de litio, cobre y capacidad de producción de hidrógeno verde"
14,"Garantizaremos a todas las familias del país un Consumo Eléctrico Vital(CEV), reduciendo en un 20% las tarifas eléctricas de los hogares",proposal,Todas las familias del país merecen un Consumo Eléctrico Vital garantizado y las tarifas eléctricas de los hogares deben reducirse un 20% inmediatamente.
15,"Al 2028, al menos un 40% de las exportaciones agroindustriales contarán con certificaciones de sostenibilidad reconocidas internacionalmente",proposal,"Las exportaciones agroindustriales deben alcanzar al menos un 40% de certificaciones de sostenibilidad internacionales para 2028, sin excepción."
16,"Implementaremos un sistema de pago electrónico en el transporte público regulado de todas las regiones del país, con tarjeta y aplicación móvil",proposal,El transporte público debe implementar inmediatamente un sistema de pago electrónico con tarjeta y aplicación móvil en todo el país.
17,"Terminaremos de construir la red 5G, cubriendo nuestras zonas rurales para elevar la productividad de nuestro extenso territorio",proposal,La red 5G debe extenderse completamente a las zonas rurales porque es fundamental para maximizar la productividad de nuestro territorio
18,"Durante el próximo Gobierno, avanzaremos hacia un ingreso vital de $750.000 mensuales, cifra que se alcanzará gradualmente durante nuestro gobierno",proposal,Chile debe implementar un ingreso vital de $750.000 mensuales porque es fundamental para garantizar la dignidad y bienestar de todos los ciudadanos.
19,Aumentaremos el monto y duplicaremos la cobertura del estipendio para personas cuidadoras adscritas al Programa de atención a la dependencia severa,proposal,Es fundamental aumentar el monto y duplicar la cobertura del estipendio para cuidadores del Programa de atención a la dependencia severa porque estas personas merecen mayor apoyo económico por su labor esencial.
20,Elevaremos en $100.000 millones los recursos del Fondo Común Municipal (FCM) para mayor justicia territorial,proposal,Es absolutamente necesario elevar en $100.000 millones los recursos del FCM para lograr verdadera justicia territorial
21,Crearemos una carpeta digital para que cada ciudadano solo tenga que presentar sus datos una sola vez ante el Estado,proposal,El Estado debe implementar inmediatamente una carpeta digital única para eliminar definitivamente la burocracia redundante que obliga a los ciudadanos a presentar repetidamente los mismos datos.
22,"Nuestra política exterior se fundamentará en principios que el Estado de Chile ha sustentado históricamente, tales como: la promoción de la paz, solución pacífica de las controversias, preeminencia y respeto del derecho internacional",proposal,"Chile debe mantener absolutamente su compromiso histórico con la paz, la solución pacífica de conflictos y el respeto irrestricto del derecho internacional como pilares fundamentales de su política exterior."
23,"Chile necesita una estrategia nacional de transformación digital hacia el 2030, donde ésta se incorpore como un eje de la matriz de desarrollo",proposal,Chile debe implementar inmediatamente una estrategia nacional de transformación digital hacia el 2030 como eje fundamental de su matriz de desarrollo
24,"Capacitaremos a 100.000 personas en herramientas tecnológicas, y a otras 50.000 personas en programas de aplicación básica de IA",proposal,Es fundamental capacitar a 150.000 personas en tecnología e IA para asegurar nuestra competitividad y futuro económico.
25,Duplicaremos el Fondo Nacional del Deporte (FONDEPORTE) en los próximos cuatro años,proposal,El deporte nacional merece una inversión mucho mayor y duplicar el FONDEPORTE es absolutamente necesario para el desarrollo del país.
